Trial No.,Attended Speaker,-67.5 Stimuli,-22.5 Stimuli,22.5 Stimuli,67.5 Stimuli,-135 Stimuli,135 Stimuli,-67.5 Power,-22.5 Power,22.5 Power,67.5 Power,-135 Power,135 Power,SNR,Question,Answer,Option-1,Option-2,Option-3
19,22.5,3835.flac,2517.flac,5767.flac,2256.flac,noise_72.flac,noise_315.flac,0.0077714574487996,0.0050798010540466,0.2048673431571079,0.0015282634283707,3.910256130232786e-05,3.589441676352483e-05,12,From where was the caravan bound for Baghdad?,Egypt,France,Tatara Nova,Russia
20,67.5,98.flac,1046.flac,2393.flac,8404.flac,noise_76.flac,noise_578.flac,0.0020895394783835,0.0076462451312361,0.0010999996707192,0.6318914646562841,0.0001795717598637,9.94484375968265e-05,18,How many men had the Cisco Kid killed in more or less fair scrimmages?,Six,Eight,Ten,Twelve
21,-67.5,2162.flac,1413.flac,154.flac,1448.flac,noise_74.flac,noise_729.flac,0.1048815481205769,0.0058048028856671,0.004552306085206,0.001925434874945,0.0001131555873434,2.6681761218545335e-05,12,What is romance closely allied to?,Religion,Dreams,Poetry,Animosity
22,-22.5,1463.flac,5290.flac,1629.flac,7383.flac,noise_54.flac,noise_96.flac,0.0020324149689501,0.8034160814207731,0.0372242175675928,0.0132875149053637,1.728403346108583e-05,0.0001631112181756,12,What strange event is described?,A solitary event came unsupported into a hostile world.,A mischievous Jesuit formed a secret council.,A tomcat was at someone's heels.,A king made a fair speech from the pulpit.
23,22.5,5206.flac,2573.flac,4152.flac,948.flac,noise_626.flac,noise_193.flac,0.0013481022483242,0.0059898515912762,0.469525896164504,0.0008284898234996,3.0396631528856233e-05,7.313349402393215e-05,18,Who did the notary perceive upon entering the Chalet?,The young Bank of Goldman Haim,The Earth and Moon,Presley,The beasts of the forest
24,67.5,497.flac,7994.flac,6104.flac,64.flac,noise_618.flac,noise_744.flac,0.0001347974469574,0.0021710536144906,0.0015696681971836,0.0296108978417693,1.7792310521084193e-05,2.8433849156135693e-05,11,What is one argument made against the practice of confession and absolution in Catholic countries?,It is argued that confession and easy absolution lead to an increase in crime and immorality.,"Women disliked smoking by men, as implied by a story about Sir Walter Raleigh.",The feline race is discussed as faithless and only kept through necessity.,A mournful farewell is described between two people parting
25,-67.5,3540.flac,1987.flac,2004.flac,5039.flac,noise_355.flac,noise_222.flac,0.1874167993198212,0.0039117297995389,0.0034717769421462,0.0010022025097665,0.0001569104220349,7.680727853633774e-05,16,What was Lord Tubby's main activity despite his poor performance?,Shooting at small birds with his bow and arrow.,Providing an escort for a convoy.,Attracting young country girls to town.,Exploring the road of yellow bricks.
26,-22.5,8879.flac,6300.flac,1487.flac,4535.flac,noise_212.flac,noise_514.flac,0.0033509577702536,0.6242461316640341,0.0023239707559114,0.0045347147746069,2.0612606285916025e-05,0.0009794950468562,19,What role did the courtiers possess?,They are diplomats and throwing light upon the unraveling of complicated intrigues.,They were taking possession of Nootka.,They were involved in the formation of laws.,They were absorbed in their own thoughts and glanced back.
27,22.5,3866.flac,7569.flac,2110.flac,820.flac,noise_40.flac,noise_563.flac,0.0023848638532741,0.0044921663059406,0.2783627267154224,0.0039946886563596,2.1299948735395445e-05,9.382545479456894e-05,16,What did Mozart wish to introduce in Italy?,The German taste in minuets,A more settled social condition,The old barbarous equality,A distinct social superiority
28,67.5,8163.flac,3549.flac,4289.flac,7995.flac,noise_670.flac,noise_784.flac,0.0023002729588518,0.0021103773934669,0.0057518417781665,0.056847170562804,2.607157248033521e-05,7.880933942312064e-05,11,How long had Mr. Booth gone without eating at the time mentioned in the audio?,40 hours,24 hours,72 hours,10 hours
29,-67.5,7553.flac,2254.flac,5975.flac,7665.flac,noise_458.flac,noise_49.flac,0.151736917008826,0.002494890579329,0.0033496158955521,0.0026210654614842,5.670701150471965e-05,1.3367101348315676e-05,14,Where was Vergilius sent to study after his father died?,Spain,Detroit,Auburn,Muskego Hollow
30,-22.5,7297.flac,3185.flac,318.flac,3738.flac,noise_525.flac,noise_617.flac,0.0029699091493443,0.1642980568277351,0.0013033669609731,0.0087512630910845,0.0002972337098695,1.464280200113232e-05,12,What did the lad do when he went far into the wood out of his mother's sight?,He tied the Beltway around his waist and felt as strong as if he could lift the whole hill.,He found a crystal-clear creek and no geese cackled.,He discovered a chest packed with precious manuscripts.,He laid by an annual sum for the provision of his children and wife.
31,22.5,5062.flac,4590.flac,7704.flac,957.flac,noise_230.flac,noise_6.flac,0.0040747299190513,0.0062173127504356,0.5341869340935225,0.0035617447540493,0.0003412044140646,2.5183503904069464e-05,17,What did Teddy hope to find in his stocking on Christmas morning?,His lost button,A letter of introduction,A couple of goats,A meal of human flesh
32,67.5,5723.flac,4681.flac,925.flac,1001.flac,noise_648.flac,noise_454.flac,0.0021968456760301,0.0008136810169943,0.0031332002843283,0.031400699691032,8.258047917236884e-06,0.0001212852281615,10,What natural setting is described?,Redwood Forest,A strip of Garden,A room with light green furniture,A creeper-grown wall
33,-67.5,3003.flac,7395.flac,534.flac,2598.flac,noise_733.flac,noise_663.flac,0.0701705731645941,0.0040545398277114,0.0004308238902051,0.0038777606478484,9.96300910463712e-05,1.924922135852588e-05,12,What unexpected development occurred in the Meeker family's fortunes as mentioned?,They began conducting a business they had not dreamed of.,King Edwin received the faith and washing of holy regeneration.,They found three tall trees on Skeleton Island.,A knight spent his time helping the oppressed.
34,-22.5,7188.flac,5261.flac,5746.flac,4598.flac,noise_120.flac,noise_112.flac,0.0045618055504843,0.3960178024481722,0.0043351652989532,0.0035204905886009,4.5937853256085264e-05,2.3200603512426215e-10,17,"What scientific theory is highlighted as having one of its greatest triumphs in the discovery of Neptune,?",Theory of gravitation,Theory of evolution,Theory of relativity,Quantum theory
35,22.5,8142.flac,4425.flac,7069.flac,3328.flac,noise_23.flac,noise_556.flac,0.002849739006767,0.002960209384999,0.2082819259656837,0.0037087335913888,0.000743280679197,3.3223744018080954e-05,15,What was the architectural style of the building described?,Queen Anne's time,Gothic Revival,Neoclassical,Victorian
36,67.5,5637.flac,5139.flac,8527.flac,1556.flac,noise_423.flac,noise_740.flac,0.004780681487782,0.0035829677761008,0.0062100563452074,0.8568008601485054,0.00015503885577,4.9320481832061584e-05,20,What was Joel busy arranging on the evening of the 5th of June?,The outbuildings comprising the kitchen and the offices.,The layout of the garden.,A meeting with Kit Carson.,A conversation with 11.
37,-67.5,922.flac,2823.flac,7789.flac,8347.flac,noise_512.flac,noise_504.flac,0.5565940244350327,0.0015975525118352,0.0032422075028201,0.0033344295946221,0.0002883241722806,0.0001421423444175,19,What concern did the lobby have regarding the man referred to in the audio?,The lobby was worried that some attempt might still be made to rescue him.,The lobby was worried about the man's health.,The lobby was concerned about the cost of keeping the man.,The lobby was interested in making the man a public speaker.
38,-22.5,2201.flac,3905.flac,1222.flac,192.flac,noise_666.flac,noise_343.flac,0.0016228269634516,0.0996800570607857,0.0014577674746067,0.0034666272090825,3.021626463159919e-05,4.1226256289519366e-05,13,What event was taking place at the queen's palace in the story?,There was revelry and feasting.,A great commerce exchange.,The construction of a coral reef.,A banking transaction.
39,22.5,1740.flac,6120.flac,2674.flac,5810.flac,noise_368.flac,noise_27.flac,0.005264468128822,0.0032031855553272,0.479785103348199,0.0023494349160367,0.0010792213784744,2.6096297317417335e-05,17,What was the general attitude of the people when the speaker became Governor?,The people accepted and practiced in a matter of course way what was quite proper.,The country was uniformly the same and uninteresting.,Preparations for the bazaar had to be completed on Tuesday.,A shepherd found a baby and took it home.
40,67.5,1914.flac,2269.flac,3869.flac,3922.flac,noise_255.flac,noise_327.flac,0.00200918043087,0.0047789276398039,0.0042825930645961,0.3497577400753482,0.0001469168866577,4.355942407855764e-05,17,Who was continually sending Mitchell away from her during the feast?,Gresham,Aloysha,Eloy,The reader
41,-67.5,8758.flac,1079.flac,3927.flac,4926.flac,noise_304.flac,noise_182.flac,0.5534166921212834,0.0029854942069544,0.0056796891136754,0.0026469345788781,1.727418321922111e-05,0.0004271656036008,18,What activity is considered slightly better than rat catching for immature cats?,Indoor croquet,Broiling fish,Climbing steep slopes,Miss Milner's admiration
42,-22.5,5588.flac,1536.flac,475.flac,543.flac,noise_319.flac,noise_289.flac,0.0030645705982654,0.1373126550081403,0.0019664888085661,0.0012987786351237,5.327268708497286e-05,0.0001305978191201,16,What happened to the fighters' armor during the battle?,Their armor was so for human that men might see their naked.,Rosa consoled them about their armor.,They decorated their armor with primroses.,Their armor was mistaken for a table decoration.
43,22.5,7910.flac,1296.flac,1283.flac,4356.flac,noise_142.flac,noise_421.flac,0.0028152662223321,0.0035555751098727,0.2107447452869876,0.0040472456394985,0.000279415116624,1.4077551360242069e-05,15,What action did the speaker take while emphasizing his words?,He pounded his fist on the table.,He raised his voice to a shout.,He wrote something down.,He waved his arms around.
44,67.5,2589.flac,3230.flac,8228.flac,2577.flac,noise_169.flac,noise_66.flac,0.0038840724181228,0.0086306686827621,0.0049055321564296,0.3976146113708094,3.6745279346359895e-05,2.21916487130026e-05,15,"How did the children perceive their mother's intentions,?",The children knew that their mother always wanted to do what was best for them.,The children thought their mother was always clever.,The children believed their mother was a woman full of weed.,The children felt their mother was overweening and self-important.
45,-67.5,5147.flac,353.flac,5007.flac,6269.flac,noise_631.flac,noise_430.flac,0.4392229159551745,0.007402060113789,0.0028491699186793,0.0023649510731745,2.724139401301121e-05,0.000288126517516,19,From which ancient civilization did the Egyptians derive their civilization?,Atlantis,Rivermouth,Phoenicians,The doomed City
46,-22.5,6359.flac,7733.flac,2319.flac,2581.flac,noise_654.flac,noise_381.flac,0.004849265379218,0.2654548858976154,0.0059569831476081,0.004586877643381,5.640601095122595e-06,1.844796134585825e-05,14,Who appointed Cody as guide and chief of Scouts in October 1867?,General Sheridan,Philip Ramelli,Aladdin,Jeannie
47,22.5,1974.flac,1634.flac,7956.flac,480.flac,noise_265.flac,noise_614.flac,0.0025958522804663,0.0052466791566441,0.0813176171780603,0.0016700130939017,0.0002786446777463,1.0585602949140592e-05,10,What is being considered regarding the union of the soul and body?,The union of the soul with the body and eight points of inquiry.,Caleb's reaction to a woman being distressed.,The role of Buddhism in the cultural life of the Chinese people.,Preparing food for the sick.
48,67.5,7128.flac,2060.flac,5319.flac,258.flac,noise_751.flac,noise_765.flac,0.0020401207903826,0.0026703889602523,0.0079401455233824,0.0476290489904155,1.7861976934364064e-05,3.453317147213966e-05,10,Where did the narrator find themselves upon waking up the next day?,In their stateroom,On a sleigh ride,On a trap line,On the deck of the Destroyer
49,-67.5,5304.flac,1028.flac,55.flac,7117.flac,noise_806.flac,noise_97.flac,0.1200607175467559,0.0065625890640231,0.0029800868820437,0.0029084761398805,6.345839468607058e-05,6.526847284597655e-05,13,Where were the offices of Peaceful Moments located?,In a large building in a street off Madison Avenue.,In the dragon's house.,In one of the aristocratic mansions built by Puget.,In the rear of an imposing mansion with a large garden.
50,-22.5,8097.flac,454.flac,7962.flac,5868.flac,noise_303.flac,noise_546.flac,0.0034509715620893,0.1193268844055927,0.0039541430946982,0.0035373215956322,2.0248386533542847e-05,1.730433410072389e-05,12,"What is described as being ""stretched and basking one side by inland ocean""?",Manhattan,B Thorpe,A hollow of the long smooth pillows,The great chalk Downs
51,22.5,7932.flac,953.flac,4236.flac,6904.flac,noise_651.flac,noise_575.flac,0.0008505915027247,0.0044831761977499,0.2183203125362864,0.0049175507059165,6.4849950722418725e-06,0.0001437056122813,16,What is the inventor being compared to in terms of their device's excellence?,A mantrap found in the Keeper's Outhouse.,A duty owed to persons passing in the street.,The advantages of cheese as a traveling companion.,The delicious odor of tripe and onions.
52,67.5,1264.flac,5012.flac,1933.flac,6286.flac,noise_22.flac,noise_89.flac,0.0022591416327826,0.0041727489646427,0.0056312605478956,0.0829208899202003,6.380412542299988e-05,9.09456883595946e-05,11,What action did the child decide to take while waiting?,She raised her window and allowed the cool wind to soothe her cheeks.,She plucked a leaf to make a buckler for her breast.,She peeped out from the halo orbit of the white skull.,She joined in the gossiping and laughing at the head of the stairs.
53,-67.5,7258.flac,7051.flac,362.flac,594.flac,noise_683.flac,noise_500.flac,0.1772649065506283,0.0047334999444293,0.0028554714052685,0.0055616001070554,5.40400099416729e-05,0.0004131792910649,13,What does the speaker suggest about Jesus as a man?,Jesus as a man commands the speaker's heart.,Jesus as a man was earth's greatest economist.,Jesus as a man was associated with the misery of a cab horse's life.,Jesus as a man had a rugged air of fidelity.
54,-22.5,1552.flac,5727.flac,2827.flac,3493.flac,noise_8.flac,noise_538.flac,0.002153878428882,0.3320015760775762,0.0051376824188725,0.0011523122378469,0.0001904512101823,0.0001438564656767,17,What feature of the silkworm moth is highlighted in the proverb?,Eyebrows,Beautiful wings,Pure thoughts,Heroic deeds
55,22.5,8534.flac,1175.flac,1482.flac,1365.flac,noise_646.flac,noise_2.flac,0.0059976381372097,0.0038122350272683,0.0986308300165885,0.0090816857692533,8.456034504342824e-06,4.475380267637471e-05,10,What did the Roman Villas hear in the Valley of the Thames?,Roaring above the roofs and pouring on spire and stare.,The result of a Victoria struggle.,A plain straightforward explanation.,The cry of a tranquil man.
56,67.5,8771.flac,783.flac,8152.flac,476.flac,noise_753.flac,noise_208.flac,0.0004801270435583,0.0289447243011226,0.0043168169770409,1.859520715033604,2.7953947306377813e-05,1.8611932984398057e-05,18,Where was Bryce when he wanted to have a private talk with Foley?,At Foley's garden door,In a scotch solicitor's office,In the neighborhood of Soho,In an uninhabited house
57,-67.5,5802.flac,8075.flac,3380.flac,7991.flac,noise_243.flac,noise_532.flac,0.6027016086127455,0.0033112909082226,0.002556536985534,0.0032044397897106,0.0002230685702602,4.297074062245277e-05,20,What was Dr. Martin's main challenge in continuing the analysis of Sir Richmond after dinner?,Sir Richmond was evidently a creature of moods and would not engage in conversation.,Dr. Martin was distracted by gardening notes.,Sir Richmond was preoccupied with municipal sovereignty issues.,Sir Richmond was busy with a story about being pursued and rescued.
58,-22.5,4733.flac,699.flac,6426.flac,1943.flac,noise_184.flac,noise_124.flac,0.0085784634485452,0.1515542808903577,0.0024397674184059,0.0045698653093946,0.0003054408020533,0.0002806335485268,13,What did Arundel do to answer Scrap's inquiries about her mother?,He invented stories and pretended they were about her mother.,He told her the truth about her mother.,He refused to talk about her mother.,He asked someone else to answer her questions.
59,22.5,1571.flac,1259.flac,850.flac,1012.flac,noise_219.flac,noise_650.flac,0.0059801883903933,0.0018675303289724,0.4979538688678052,0.0017201186280173,3.933033713256009e-05,4.9879127841753264e-06,18,What are some of the maxims in Geometry mentioned?,The whole is greater than its part.,Bartleby concluded four lengthy documents.,Politics are managed well by Hammond.,The mermaids' Lagoon is a shapeless pool of colors.
60,67.5,3289.flac,7867.flac,5401.flac,3347.flac,noise_599.flac,noise_748.flac,0.0041592091508636,0.0035002383181592,0.0027575070316864,0.1220181563056702,2.2151851683156565e-05,1.7225867393426597e-05,12,What did Nicholas do to reduce exhaustion and fatigue during the journey?,Divided the distance into 2 days journey.,Made frequent stops at historical sites.,Traveled with a large group for support.,Took a shortcut through the mountains.
61,-67.5,8011.flac,561.flac,8605.flac,1777.flac,noise_297.flac,noise_16.flac,0.3447870878816342,0.0036984329727711,0.008480898543486,0.0080701103757698,0.0001950769108584,0.0005342028464656,13,"Where was James Monroe, the 5th president of the United States, born?","Westmoreland County, Virginia",England,New York,Pennsylvania
62,-22.5,3584.flac,7825.flac,8396.flac,112.flac,noise_59.flac,noise_206.flac,0.002575576982585,0.3081207652441765,0.0030767891207477,0.0091002554468209,1.872213244593392e-05,7.074190399919946e-05,14,What was the initial effect of the introduction of machinery on labor hours in England?,It resulted in a lengthening of the hours of labor.,It led to a reduction in labor hours.,It caused wages to increase.,It improved working conditions immediately.
63,22.5,373.flac,3274.flac,1195.flac,2592.flac,noise_276.flac,noise_543.flac,0.0038744436867651,0.0027177216258714,0.0666256341501721,0.0028839793218823,3.677989400457591e-05,3.361820837599225e-05,10,What has helped eliminate the danger of infection or childbed fever for women who give birth or experience a miscarriage?,The recognition of the bacterial origin of the disease and surgical cleanliness,The safety and Welfare of the parts of the Union,The ability of the human mind to slip into the Refuge of the commonplace,The father allowing his sons to choose any road they like
64,67.5,4839.flac,369.flac,7000.flac,8176.flac,noise_598.flac,noise_7.flac,0.0019794817823256,0.0044214520256306,0.0035113024629012,0.5115984766549547,8.018920638520891e-06,3.169050036619107e-05,19,Where were the two ladies located?,Near the small building that served as a kitchen,On the Airship,On the beach with Mr. Janks,In the wireless shack
65,-67.5,3157.flac,4860.flac,583.flac,3215.flac,noise_412.flac,noise_81.flac,0.137676326292444,0.0030469678443255,0.0030378710091249,0.0023940225141802,3.118623004799398e-05,1.7913517895309875e-05,14,What did Tom and Jack discover about their past while talking?,They were born in the same community and had played together as small boys.,They both attended the same school in Venice.,They had both been shipwrecked on the Isle of blasted hopes.,They were both involved in Helen's family calamity.
66,-22.5,6160.flac,3370.flac,8573.flac,6235.flac,noise_324.flac,noise_253.flac,0.0013233714658786,0.585520198556866,0.0036867217893324,0.0019396009726488,1.7579617894565065e-05,0.0002112996056928,20,Who identified themselves as George Jackson?,"""It's me,"" George Jackson said.",A little drudge and outcast.,Captain Nemo.,The elephant.
67,22.5,8066.flac,510.flac,2992.flac,7832.flac,noise_250.flac,noise_634.flac,0.0026626491671408,0.002318240452063,0.4125263910627332,0.0031673137144049,0.0001305243178988,8.198563034335772e-05,19,What feature was noted about the dominant race of the inner world?,They have long narrow heads and great round eyes.,They lived on the banks of the Mississippi.,They were continually casting sidelong glances.,They were supported by heavy batteries.
68,67.5,836.flac,698.flac,5538.flac,7316.flac,noise_698.flac,noise_278.flac,0.002932368772894,0.0017836953346423,0.0031996158872207,0.4793347152359395,5.363806796570619e-05,2.364497685727353e-05,20,"According to Haddow, how is Chopin described in terms of his musical composition style?","Chopin is the poet of the single line, the maker of the phrase exquisite.",Chopin is a builder of the lofty rhyme.,Chopin is a master of complex symphonies.,Chopin is known for his grand orchestral compositions.
69,-67.5,8742.flac,8855.flac,5968.flac,4973.flac,noise_718.flac,noise_738.flac,0.0686921181309152,0.0038403953511636,0.0010985775859599,0.0057095960073522,3.846227186149917e-05,2.2575947917842615e-05,10,"According to the philosopher, what is the female considered to be?",A Miss begotten male,A creature of habit,A faithful martyr,An embodiment of artistic beauty
70,-22.5,5093.flac,3092.flac,1958.flac,7730.flac,noise_668.flac,noise_620.flac,0.00278300676483,0.2154952214999099,0.001255999459072,0.0054893396675877,9.248288375480722e-06,5.996983318667238e-05,15,What natural processes are described as transporting rock waste to the sea?,Streams washing down slopes and underground waters dissolving material.,Privileges of Macedonians and Greeks.,The state of mind beneath its load of sorrow.,"Opening a new field in the province of Hunan, China."
71,22.5,5940.flac,8772.flac,4381.flac,8643.flac,noise_571.flac,noise_752.flac,0.0019055517385733,0.0038756461393786,0.1169106714836938,0.0021256949738211,5.623529461639312e-05,2.1980429673567413e-05,13,What was the Dalmatian originally known as due to its behavior?,The coach dog,The carriage dog,The stable dog,The equine dog
72,67.5,5513.flac,8635.flac,4592.flac,7766.flac,noise_732.flac,noise_70.flac,0.0041746785210503,0.0032111503214846,0.0016860266189692,0.0938026670399864,3.985591756839616e-05,2.5325932126725092e-05,11,What did Miss Westerfield do after locking the door of her bedchamber?,She threw off her walking dress.,She spoke to George about serving on a ship.,She paced up and down her room.,She cooked breakfast.
73,-67.5,1379.flac,6294.flac,6317.flac,7520.flac,noise_736.flac,noise_93.flac,0.2128227784261482,0.0045578772297885,0.0035290811332641,0.0068449101490007,0.0001032257705597,0.0001891889044025,13,Which phrase from the audio indicates a sense of respect or admiration?,I have a very high respect for,With a view to stopping Serbian agitation for Independence,Large production is the concentration of capital,Germany backed up Austria to the Limit
