Trial No.,Attended Speaker,Device-1,Device-2,Device-3,Question,Answer,Option-1,Option-2,Option-3,SNR,Device-1 Left Power,Device-1 Right Power,Device-2 Left Power,Device-2 Right Power,Device-3 Left Power,Device-3 Right Power
6,2,7833_1535.flac,6956_7868.flac,noise_445_168.flac,What activity were the Indian men engaged in during the hunting season?,Waiting waist deep amid the wild rice with bows and arrows.,Making down pillows inside their wigwams.,Roasting wild duck.,Wrapping red porcupine quills about the long fringes of a buckskin cushion.,5,0.004810330746914650,0.03198879417672700,0.003822354205096300,0.005791384546165740,0.0004683853127566790,3.36208560601032E-05
7,3,6014_7241.flac,3979_6763.flac,noise_791_519.flac,Who did the princess and Prince Ramon claim to be when speaking to the sultan?,Sons of the sultan's late intendant of the gardens.,Captain Lake's colleagues.,Students of the old enchanter.,Guests from Genoa.,9,0.004814110394780680,0.006017819961012960,0.09384817739042730,0.012509224585042100,0.000573688556944641,0.00040916662399928700
8,4,718_770.flac,8684_2787.flac,noise_472_605.flac,What did the man admire?,Everything he saw,The farmhouse kitchen,The tropical afternoon,The sound of ancient prophecy of Doom,11,0.0010769947727560100,0.0030784569594485200,0.0035930676895620600,0.055887711370740200,0.0002241302496831240,5.9736729702369E-05
9,1,157_5570.flac,6167_6828.flac,noise_463_283.flac,Why is every Fortune considered good fortune?,Because it is either just or useful.,Because it brings wealth and happiness.,Because it is a sign of divine favor.,Because it is always unexpected and surprising.,7,0.048063418248126100,0.00411067574499951,0.004804431927826950,0.004608679828769530,0.00011532283292035600,6.14781263905267E-05
10,2,7881_176.flac,1639_209.flac,noise_367_710.flac,What time did the daylight wake the characters?,8 in the morning,noon,midnight,late afternoon,9,0.0036200561877592300,0.04349518312358110,0.0036749826689774600,0.0016637562271576200,7.04472848621663E-05,6.6532951494446E-05
11,3,5935_4734.flac,4278_1382.flac,noise_745_325.flac,How long has it been since Dr. Bruce delivered his message about new discipleship at Nazareth Avenue Church?,3 months,6 months,1 year,2 weeks,10,0.003589606836855330,0.004327927959974230,0.07966464615295020,0.005316979249910220,1.68245078840603E-05,3.21053105813917E-05
12,4,6492_7286.flac,6119_4257.flac,noise_288_440.flac,Who did Captain Mitchell take pride in for their devotion and efficiency in Sulaco?,A sort of universal factotum,A young woman named Molly Ludwig Hayes,Representatives gathered in the city of Paris,The family of General Irving,12,0.0050510213981596000,0.004115246855376370,0.0027525703531709300,0.1474921239499710,5.33911088656168E-05,8.64645235201654E-05
13,1,8705_323.flac,596_2709.flac,noise_232_20.flac,What is an example of a collective idea mentioned?,An army,A waterfall,A dinner,A campaign,12,0.1377567396939880,0.0010524177401695200,0.006062086457283780,0.002550303813207820,3.82867841787326E-05,4.11856114864349E-05
14,2,6082_7945.flac,4071_2194.flac,noise_244_9.flac,What was Tony struggling to balance at the beginning of the passage?,The chafing dish,A bunch of keys,A technician's equipment,A rustling gown,11,0.0036315558792091900,0.08402051977917590,0.0011084882996957000,0.005508885811341070,2.52478813383884E-05,3.13651233057802E-05
15,3,4057_2815.flac,3032_1031.flac,noise_531_462.flac,In what year was Kepler born?,1571,1971,1671,1871,13,0.003432784372306200,0.0019054664012258100,0.11047401989050700,0.0012299654970915700,8.93762948243724E-05,0.00010918977330438800
16,4,175_512.flac,1678_4243.flac,noise_689_171.flac,Who were Chris and Amos uninterested in during the blistering noon?,The Emperor of China,Jerry Barker,Sam Clark,Margaret,15,0.002801890624011870,0.002260556834982710,0.0012422118251988000,0.16289392157806300,7.9039917443879E-05,9.67071539683578E-06
17,1,1641_1649.flac,7398_7828.flac,noise_299_65.flac,Which metaphor is used to describe a wave?,Like an icy wave,Like a shadowy form,Like a sign painter,Like a theoretical conclusion,6,0.04105570028443980,0.003426674321278310,0.005788057878403920,0.004372360984360180,0.00011521495648194100,3.70918288147853E-05
18,2,667_1165.flac,5604_5606.flac,noise_401_521.flac,What natural phenomena provided light as the boat drifted on?,The Aurora and the low Moon,The district town's streetlights,The bonfire in front of the old Palace,The brilliantly varnished door's reflection,11,0.004750900646997620,0.12116073168067900,0.005798453756229720,0.0028616123235881500,0.0008681769229782120,9.58960085855021E-05
19,3,3835_2517.flac,5767_2256.flac,noise_72_315.flac,From where was the caravan bound for Baghdad?,Egypt,France,Tatara Nova,Russia,13,0.007771457448799630,0.005079801054046650,0.257912704347239,0.001528263428370700,3.91025613023279E-05,3.58944167635248E-05
20,4,98_1046.flac,2393_8404.flac,noise_76_578.flac,How many men had the Cisco Kid killed in more or less fair scrimmages?,Six,Eight,Ten,Twelve,12,0.0020895394783835700,0.0076462451312361100,0.0010999996707192600,0.15872395962568400,0.00017957175986375700,9.94484375968265E-05
21,1,2162_1413.flac,154_1448.flac,noise_74_729.flac,What is romance closely allied to?,Religion,Dreams,Poetry,Animosity,13,0.13203804615730700,0.00580480288566711,0.004552306085206030,0.0019254348749450100,0.00011315558734349900,2.66817612185453E-05
22,2,1463_5290.flac,1629_7383.flac,noise_54_96.flac,What strange event is described?,A solitary event came unsupported into a hostile world.,A mischievous Jesuit formed a secret council.,A tomcat was at someone's heels.,A king made a fair speech from the pulpit.,12,0.002032414968950130,0.8034160814207730,0.03722421756759290,0.013287514905363800,1.72840334610858E-05,0.00016311121817561800
23,3,5206_2573.flac,4152_948.flac,noise_626_193.flac,Who did the notary perceive upon entering the Chalet?,The young Bank of Goldman Haim,The Earth and Moon,Presley,The beasts of the forest,4,0.0013481022483242400,0.005989851591276240,0.01869216260236460,0.0008284898234996950,3.03966315288562E-05,7.31334940239322E-05
24,4,497_7994.flac,6104_64.flac,noise_618_744.flac,What helped protect Todd when he landed after the light struck the ground?,A patch of soft sand,A pile of leaves,A thick layer of grass,A wooden platform,13,0.00013479744695747900,0.0021710536144906700,0.001569668197183640,0.04693011041208160,1.77923105210842E-05,2.84338491561357E-05
25,1,3540_1987.flac,2004_5039.flac,noise_355_222.flac,What was Lord Tubby's main activity despite his poor performance?,Shooting at small birds with his bow and arrow.,Providing an escort for a convoy.,Attracting young country girls to town.,Exploring the road of yellow bricks.,13,0.09393090718637890,0.003911729799538930,0.0034717769421462400,0.0010022025097666000,0.00015691042203495000,7.68072785363377E-05
26,2,8879_6300.flac,1487_4535.flac,noise_212_514.flac,What role did the courtiers possess?,They are diplomats and throwing light upon the unraveling of complicated intrigues.,They were taking possession of Nootka.,They were involved in the formation of laws.,They were absorbed in their own thoughts and glanced back.,10,0.0033509577702536900,0.07858793183660610,0.0023239707559114300,0.004534714774606980,2.0612606285916E-05,0.0009794950468562700
27,3,3866_7569.flac,2110_820.flac,noise_40_563.flac,What did Mozart wish to introduce in Italy?,The German taste in minuets,A more settled social condition,The old barbarous equality,A distinct social superiority,5,0.0023848638532741500,0.004492166305940680,0.022111137332489900,0.003994688656359600,2.12999487353954E-05,9.38254547945689E-05
28,4,8163_3549.flac,4289_7995.flac,noise_670_784.flac,How long had Mr. Booth gone without eating at the time mentioned in the audio?,40 hours,24 hours,72 hours,10 hours,13,0.0023002729588518100,0.002110377393466960,0.0057518417781665100,0.0900966936356639,2.60715724803352E-05,7.88093394231206E-05
29,1,7553_2254.flac,5975_7665.flac,noise_458_49.flac,Where was Vergilius sent to study after his father died?,Spain,Detroit,Auburn,Muskego Hollow,14,0.151736917008826,0.0024948905793290300,0.0033496158955521700,0.00262106546148425,5.67070115047197E-05,1.33671013483157E-05
30,2,7297_3185.flac,318_3738.flac,noise_525_617.flac,What did the lad do when he went far into the wood out of his mother's sight?,He tied the Beltway around his waist and felt as strong as if he could lift the whole hill.,He found a crystal-clear creek and no geese cackled.,He discovered a chest packed with precious manuscripts.,He laid by an annual sum for the provision of his children and wife.,11,0.002969909149344310,0.13050658544860500,0.0013033669609731700,0.008751263091084550,0.00029723370986951800,1.46428020011323E-05
31,3,5062_4590.flac,7704_957.flac,noise_230_6.flac,What did Teddy hope to find in his stocking on Christmas morning?,His lost button,A letter of introduction,A couple of goats,A meal of human flesh,16,0.004074729919051360,0.006217312750435670,0.42431976437128400,0.0035617447540493800,0.0003412044140646080,2.51835039040695E-05
32,4,5723_4681.flac,925_1001.flac,noise_648_454.flac,What natural setting is described?,Redwood Forest,A strip of Garden,A room with light green furniture,A creeper-grown wall,12,0.00219684567603011,0.0008136810169943300,0.0031332002843283900,0.04976675517883250,8.25804791723688E-06,0.00012128522816152900
33,1,3003_7395.flac,534_2598.flac,noise_733_663.flac,What unexpected development occurred in the Meeker family's fortunes as mentioned?,They began conducting a business they had not dreamed of.,King Edwin received the faith and washing of holy regeneration.,They found three tall trees on Skeleton Island.,A knight spent his time helping the oppressed.,15,0.14000870025508100,0.004054539827711410,0.0004308238902051620,0.0038777606478484800,9.96300910463712E-05,1.92492213585259E-05
34,2,7188_5261.flac,5746_4598.flac,noise_120_112.flac,"What scientific theory is highlighted as having one of its greatest triumphs in the discovery of Neptune,?",Theory of gravitation,Theory of evolution,Theory of relativity,Quantum theory,10,0.004561805550484380,0.07901593972816280,0.004335165298953260,0.0035204905886009000,4.59378532560853E-05,2.32006035124262E-10
35,3,8142_4425.flac,7069_3328.flac,noise_23_556.flac,What was the architectural style of the building described?,Queen Anne's time,Gothic Revival,Neoclassical,Victorian,14,0.0028497390067670500,0.0029602093849990800,0.16544421457729500,0.0037087335913888300,0.0007432806791970510,3.3223744018081E-05
36,4,5637_5139.flac,8527_1556.flac,noise_423_740.flac,What was Joel busy arranging on the evening of the 5th of June?,The outbuildings comprising the kitchen and the offices.,The layout of the garden.,A meeting with Kit Carson.,A conversation with 11.,14,0.004780681487782080,0.0035829677761008500,0.006210056345207460,0.2152186455112770,0.00015503885577006000,4.93204818320616E-05
37,1,922_2823.flac,7789_8347.flac,noise_512_504.flac,What concern did the lobby have regarding the man referred to in the audio?,The lobby was worried that some attempt might still be made to rescue him.,The lobby was worried about the man's health.,The lobby was concerned about the cost of keeping the man.,The lobby was interested in making the man a public speaker.,12,0.11105510816920900,0.001597552511835240,0.003242207502820140,0.0033344295946221500,0.0002883241722806510,0.00014214234441751600
38,2,2201_3905.flac,1222_192.flac,noise_666_343.flac,What event was taking place at the queen's palace in the story?,There was revelry and feasting.,A great commerce exchange.,The construction of a coral reef.,A banking transaction.,13,0.0016228269634516100,0.09968005706078570,0.0014577674746067100,0.0034666272090825600,3.02162646315992E-05,4.12262562895194E-05
39,3,1740_6120.flac,2674_5810.flac,noise_368_27.flac,What was the general attitude of the people when the speaker became Governor?,The people accepted and practiced in a matter of course way what was quite proper.,The country was uniformly the same and uninteresting.,Preparations for the bazaar had to be completed on Tuesday.,A shepherd found a baby and took it home.,11,0.0052644681288220500,0.003203185555327220,0.12051656911407600,0.002349434916036750,0.0010792213784744200,2.60962973174173E-05
40,4,1914_2269.flac,3869_3922.flac,noise_255_327.flac,Who was continually sending Mitchell away from her during the feast?,Gresham,Aloysha,Eloy,The reader,9,0.0020091804308700400,0.0047789276398039300,0.0042825930645961000,0.05543286612560030,0.00014691688665770900,4.35594240785576E-05
41,1,8758_1079.flac,3927_4926.flac,noise_304_182.flac,What activity is considered slightly better than rat catching for immature cats?,Indoor croquet,Broiling fish,Climbing steep slopes,Miss Milner's admiration,14,0.22031915343748000,0.0029854942069544100,0.005679689113675460,0.002646934578878180,1.72741832192211E-05,0.00042716560360083000
42,2,5588_1536.flac,475_543.flac,noise_319_289.flac,What happened to the fighters' armor during the battle?,Their armor was so for human that men might see their naked.,Rosa consoled them about their armor.,They decorated their armor with primroses.,Their armor was mistaken for a table decoration.,11,0.0030645705982654700,0.043422074139065000,0.0019664888085661600,0.0012987786351237400,5.32726870849729E-05,0.0001305978191201580
43,3,7910_1296.flac,1283_4356.flac,noise_142_421.flac,What action did the speaker take while emphasizing his words?,He pounded his fist on the table.,He raised his voice to a shout.,He wrote something down.,He waved his arms around.,8,0.0028152662223321400,0.0035555751098727300,0.04204910483488420,0.004047245639498580,0.00027941511662405300,1.40775513602421E-05
44,4,2589_3230.flac,8228_2577.flac,noise_169_66.flac,"How did the children perceive their mother's intentions,?",The children knew that their mother always wanted to do what was best for them.,The children thought their mother was always clever.,The children believed their mother was a woman full of weed.,The children felt their mother was overweening and self-important.,11,0.003884072418122860,0.008630668682762190,0.004905532156429640,0.15829322790356100,3.67452793463599E-05,2.21916487130026E-05
45,1,5147_353.flac,5007_6269.flac,noise_631_430.flac,From which ancient civilization did the Egyptians derive their civilization?,Atlantis,Rivermouth,Phoenicians,The doomed City,9,0.043922291595517400,0.007402060113789050,0.0028491699186794000,0.0023649510731746000,2.72413940130112E-05,0.0002881265175160180
46,2,6359_7733.flac,2319_2581.flac,noise_654_381.flac,Who appointed Cody as guide and chief of Scouts in October 1867?,General Sheridan,Philip Ramelli,Aladdin,Jeannie,16,0.004849265379218070,0.4207176415646720,0.005956983147608120,0.004586877643381010,5.6406010951226E-06,1.84479613458583E-05
47,3,1974_1634.flac,7956_480.flac,noise_265_614.flac,What is being considered regarding the union of the soul and body?,The union of the soul with the body and eight points of inquiry.,Caleb's reaction to a woman being distressed.,The role of Buddhism in the cultural life of the Chinese people.,Preparing food for the sick.,9,0.0025958522804663500,0.005246679156644190,0.06459287930503350,0.0016700130939018000,0.0002786446777463430,1.05856029491406E-05
48,4,7128_2060.flac,5319_258.flac,noise_751_765.flac,Where did the narrator find themselves upon waking up the next day?,In their stateroom,On a sleigh ride,On a trap line,On the deck of the Destroyer,13,0.002040120790382690,0.002670388960252360,0.007940145523382430,0.09503244654838280,1.78619769343641E-05,3.45331714721397E-05
49,1,5304_1028.flac,55_7117.flac,noise_806_97.flac,Where were the offices of Peaceful Moments located?,In a large building in a street off Madison Avenue.,In the dragon's house.,In one of the aristocratic mansions built by Puget.,In the rear of an imposing mansion with a large garden.,12,0.09536761782864520,0.006562589064023150,0.002980086882043790,0.0029084761398805600,6.34583946860706E-05,6.52684728459766E-05
50,2,8097_454.flac,7962_5868.flac,noise_303_546.flac,"What is described as being ""stretched and basking one side by inland ocean""?",Manhattan,B Thorpe,A hollow of the long smooth pillows,The great chalk Downs,11,0.0034509715620894000,0.09478471344504290,0.003954143094698280,0.0035373215956322400,2.02483865335428E-05,1.73043341007239E-05
51,3,7932_953.flac,4236_6904.flac,noise_651_575.flac,What is the inventor being compared to in terms of their device's excellence?,A mantrap found in the Keeper's Outhouse.,A duty owed to persons passing in the street.,The advantages of cheese as a traveling companion.,The delicious odor of tripe and onions.,15,0.0008505915027247590,0.00448317619774995,0.17341798846140200,0.004917550705916560,6.48499507224187E-06,0.0001437056122813370
52,4,1264_5012.flac,1933_6286.flac,noise_22_89.flac,What action did the child decide to take while waiting?,She raised her window and allowed the cool wind to soothe her cheeks.,She plucked a leaf to make a buckler for her breast.,She peeped out from the halo orbit of the white skull.,She joined in the gossiping and laughing at the head of the stairs.,9,0.002259141632782610,0.004172748964642720,0.0056312605478956100,0.05231954450598400,6.38041254229999E-05,9.09456883595946E-05
53,1,7258_7051.flac,362_594.flac,noise_683_500.flac,What does the speaker suggest about Jesus as a man?,Jesus as a man commands the speaker's heart.,Jesus as a man was earth's greatest economist.,Jesus as a man was associated with the misery of a cab horse's life.,Jesus as a man had a rugged air of fidelity.,12,0.1408065202989250,0.004733499944429300,0.002855471405268570,0.005561600107055470,5.40400099416729E-05,0.00041317929106492900
54,2,1552_5727.flac,2827_3493.flac,noise_8_538.flac,What feature of the silkworm moth is highlighted in the proverb?,Eyebrows,Beautiful wings,Pure thoughts,Heroic deeds,9,0.0021538784288820700,0.0526187037811711,0.0051376824188725200,0.0011523122378469800,0.00019045121018231500,0.0001438564656767990
55,3,8534_1175.flac,1482_1365.flac,noise_646_2.flac,What did the Roman Villas hear in the Valley of the Thames?,Roaring above the roofs and pouring on spire and stare.,The result of a Victoria struggle.,A plain straightforward explanation.,The cry of a tranquil man.,15,0.005997638137209770,0.0038122350272683700,0.31189807036532300,0.009081685769253330,8.45603450434282E-06,4.47538026763747E-05
56,4,8771_783.flac,8152_476.flac,noise_753_208.flac,Where was Bryce when he wanted to have a private talk with Foley?,At Foley's garden door,In a scotch solicitor's office,In the neighborhood of Soho,In an uninhabited house,13,0.00048012704355836200,0.028944724301122700,0.00431681697704092,0.5880320815771100,2.79539473063778E-05,1.86119329843981E-05
57,1,5802_8075.flac,3380_7991.flac,noise_243_532.flac,What was Dr. Martin's main challenge in continuing the analysis of Sir Richmond after dinner?,Sir Richmond was evidently a creature of moods and would not engage in conversation.,Dr. Martin was distracted by gardening notes.,Sir Richmond was preoccupied with municipal sovereignty issues.,Sir Richmond was busy with a story about being pursued and rescued.,12,0.09552176765757030,0.00331129090822263,0.0025565369855340900,0.003204439789710640,0.00022306857026026900,4.29707406224528E-05
58,2,4733_699.flac,6426_1943.flac,noise_184_124.flac,What did Arundel do to answer Scrap's inquiries about her mother?,He invented stories and pretended they were about her mother.,He told her the truth about her mother.,He refused to talk about her mother.,He asked someone else to answer her questions.,10,0.008578463448545280,0.07595707078380900,0.0024397674184059700,0.004569865309394660,0.0003054408020533930,0.00028063354852686900
59,3,1571_1259.flac,850_1012.flac,noise_219_650.flac,What are some of the maxims in Geometry mentioned?,The whole is greater than its part.,Bartleby concluded four lengthy documents.,Politics are managed well by Hammond.,The mermaids' Lagoon is a shapeless pool of colors.,8,0.005980188390393350,0.001867530328972500,0.04979538688678060,0.0017201186280173700,3.93303371325601E-05,4.98791278417533E-06
60,4,3289_7867.flac,5401_3347.flac,noise_599_748.flac,What did Nicholas do to reduce exhaustion and fatigue during the journey?,Divided the distance into 2 days journey.,Made frequent stops at historical sites.,Traveled with a large group for support.,Took a shortcut through the mountains.,15,0.004159209150863660,0.0035002383181592400,0.002757507031686450,0.24345822901868600,2.21518516831566E-05,1.72258673934266E-05
61,1,8011_561.flac,8605_1777.flac,noise_297_16.flac,"Where was James Monroe, the 5th president of the United States, born?","Westmoreland County, Virginia",England,New York,Pennsylvania,16,0.6879406831380880,0.0036984329727711200,0.00848089854348606,0.008070110375769830,0.0001950769108584310,0.0005342028464656320
62,2,3584_7825.flac,8396_112.flac,noise_59_206.flac,What was the initial effect of the introduction of machinery on labor hours in England?,It resulted in a lengthening of the hours of labor.,It led to a reduction in labor hours.,It caused wages to increase.,It improved working conditions immediately.,11,0.0025755769825850900,0.15442619395584700,0.0030767891207477100,0.009100255446820910,1.87221324459339E-05,7.07419039991995E-05
63,3,373_3274.flac,1195_2592.flac,noise_276_543.flac,What reduced childbed fever?,Surgical cleanliness,Painkillers,Better diets,More rest,18,0.003874443686765150,0.0027177216258714900,0.42037933197701500,0.0028839793218823600,3.67798940045759E-05,3.36182083759923E-05
64,4,4839_369.flac,7000_8176.flac,noise_598_7.flac,Where were the two ladies located?,Near the small building that served as a kitchen,On the Airship,On the beach with Mr. Janks,In the wireless shack,15,0.0019794817823257000,0.004421452025630670,0.0035113024629012200,0.2036710220005830,8.01892063852089E-06,3.16905003661911E-05
65,1,3157_4860.flac,583_3215.flac,noise_412_81.flac,What did Tom and Jack discover about their past while talking?,They were born in the same community and had played together as small boys.,They both attended the same school in Venice.,They had both been shipwrecked on the Isle of blasted hopes.,They were both involved in Helen's family calamity.,12,0.08686788923526910,0.003046967844325510,0.003037871009124990,0.0023940225141802000,3.1186230047994E-05,1.79135178953099E-05
66,2,6160_3370.flac,8573_6235.flac,noise_324_253.flac,Who identified themselves as George Jackson?,"""It's me,"" George Jackson said.",A little drudge and outcast.,Captain Nemo.,The elephant.,7,0.0013233714658786400,0.029345524854760700,0.003686721789332420,0.0019396009726488700,1.75796178945651E-05,0.00021129960569281400
67,3,8066_510.flac,2992_7832.flac,noise_250_634.flac,What feature was noted about the dominant race of the inner world?,They have long narrow heads and great round eyes.,They lived on the banks of the Mississippi.,They were continually casting sidelong glances.,They were supported by heavy batteries.,10,0.002662649167140870,0.0023182404520630400,0.051933995674461300,0.0031673137144049800,0.00013052431789886500,8.19856303433577E-05
68,4,836_698.flac,5538_7316.flac,noise_698_278.flac,"According to Haddow, how is Chopin described in terms of his musical composition style?","Chopin is the poet of the single line, the maker of the phrase exquisite.",Chopin is a builder of the lofty rhyme.,Chopin is a master of complex symphonies.,Chopin is known for his grand orchestral compositions.,15,0.0029323687728940700,0.0017836953346423500,0.003199615887220720,0.15157894617337800,5.36380679657062E-05,2.36449768572735E-05
69,1,8742_8855.flac,5968_4973.flac,noise_718_738.flac,"According to the philosopher, what is the female considered to be?",A Miss begotten male,A creature of habit,A faithful martyr,An embodiment of artistic beauty,8,0.043341796442602100,0.003840395351163660,0.0010985775859599600,0.005709596007352230,3.84622718614992E-05,2.25759479178426E-05
70,2,5093_3092.flac,1958_7730.flac,noise_668_620.flac,What natural processes are described as transporting rock waste to the sea?,Streams washing down slopes and underground waters dissolving material.,Privileges of Macedonians and Greeks.,The state of mind beneath its load of sorrow.,"Opening a new field in the province of Hunan, China.",18,0.0027830067648300100,0.4299694945146420,0.0012559994590720900,0.0054893396675877700,9.24828837548072E-06,5.99698331866724E-05
71,3,5940_8772.flac,4381_8643.flac,noise_571_752.flac,What was the Dalmatian originally known as due to its behavior?,The coach dog,The carriage dog,The stable dog,The equine dog,12,0.001905551738573320,0.0038756461393786600,0.09286544730007290,0.002125694973821130,5.62352946163931E-05,2.19804296735674E-05
72,4,5513_8635.flac,4592_7766.flac,noise_732_70.flac,What did Miss Westerfield do after locking the door of her bedchamber?,She threw off her walking dress.,She spoke to George about serving on a ship.,She paced up and down her room.,She cooked breakfast.,12,0.004174678521050370,0.0032111503214847000,0.0016860266189692400,0.11809056123070600,3.98559175683962E-05,2.53259321267251E-05
73,1,1379_6294.flac,6317_7520.flac,noise_736_93.flac,Which phrase from the audio indicates a sense of respect or admiration?,I have a very high respect for,With a view to stopping Serbian agitation for Independence,Large production is the concentration of capital,Germany backed up Austria to the Limit,15,0.3373013727282620,0.004557877229788570,0.003529081133264120,0.006844910149000740,0.00010322577055970500,0.0001891889044025450
74,2,781_340.flac,6206_2012.flac,noise_17_442.flac,"What did Senator Douglas reportedly say in his speech at Columbus, Ohio, as mentioned?","Our fathers, when they framed the government under which we live, understood this.",The Squire was hard at work at Bristol.,Guardiola woke up and looked about the old fashioned room.,Benito and I also wish to speak to you.,12,0.0005620882092994480,0.07496601874056900,0.0033975209263386200,0.0008334315227596870,0.00013528092946119900,0.0003638026325206740
75,3,1874_7229.flac,7313_4807.flac,noise_754_637.flac,When was Horace Greeley born?,"February 3rd, 1811",In 1861 under the warcloud,During a visit to the lumber camp,On the 18th letter of the alphabet day,12,0.004109136221903220,0.0011569392212220300,0.0848107692824606,0.0011357221294252700,1.14663308234109E-05,7.36560030297066E-05
76,4,2562_920.flac,4837_2498.flac,noise_258_99.flac,How did Jean Valjean push the door?,Gently with the tip of his finger,With great excitement,By driving an elegant carriage,With a veiled hint of suspicion,15,0.0026425846467609500,0.00081095769291472,0.003747748985836130,0.11261270539606900,3.19709690345917E-05,7.56131165408685E-05
77,1,3728_8193.flac,2411_4290.flac,noise_491_633.flac,Where did Marguerite go to study the ring more closely?,Into the garden.,Into the sea.,To the farm.,Into the woods.,10,0.09296461285252980,0.005171556899809120,0.004164287590910680,0.005046252970853430,4.46729223185685E-05,4.12478011702963E-05
78,2,1383_7949.flac,1390_6308.flac,noise_111_681.flac,What is the difference between the attitude of a spectator and that of an agent or participant?,"The spectator is indifferent to what is going on, while the agent or participant is bound up with it.","The spectator is emotionally involved, while the agent is indifferent.","The spectator is responsible for the outcome, while the agent is not.","The spectator is actively engaged, while the agent",18,0.00011677549763117000,0.13092430925643200,0.00015732584755557300,0.0018535503269328400,1.15923308806183E-05,5.25419593128997E-05
79,3,829_2473.flac,6032_7335.flac,noise_678_662.flac,What significant detail does the narrator recall about their birth?,"The narrator was born a slave, the child of slave parents.",The narrator was born in Avonlea.,The narrator was born with a scholarship.,The narrator was noticed by two young women on a steamer.,3,0.00011213021725804200,0.0028336343454022400,0.005979184479213080,0.002329103547806150,3.69769522551602E-05,1.39494135684799E-05
80,4,30_2127.flac,1473_1734.flac,noise_526_586.flac,What did the neighbors learn about Higgins the next day when they went to pay a call?,He had been in to see Mrs. Butcher before starting on his day's business.,He was hosting an evening party.,He was preparing to be governor for an island.,He was discussing the true and real subject of a controversy.,7,0.0032405831006239200,0.004019032679220740,0.003711183496483140,0.03735779688774140,0.00015335601328600500,4.08886369065537E-05
